,identifier,principal_component_1,principal_component_2,iso_forest_scores,iso_forest_outliers
0,1004,-0.9411229950186639,-0.07837141600079923,0.2005817631962581,No
1,1004,-0.9080967068661026,0.06299713778843836,0.1886392925565435,No
2,1004,-0.9841821089770658,-0.14010560233000488,0.21543945847233598,No
3,1004,-0.35205353926365685,-0.2659537795332708,0.22519483441196542,No
4,1050,1.1683289982634022,-0.22057186968980938,0.17467392777801072,No
5,1050,1.0490203686678754,-0.20168380330607466,0.17748364098097352,No
6,1050,1.2131585701014924,-0.0835121364691029,0.16505598673434224,No
7,1050,2.029923493061257,-0.2126386246919844,0.14743440499335309,No
8,1072,0.6584073039578737,-0.8895935324871367,0.1510036675778207,No
9,1072,0.2942453280761741,-0.8577559458947377,0.18960366732691958,No
10,1072,-0.08251194179897002,-0.8493221023329015,0.19859227765582804,No
11,1072,-0.10039933549176253,-0.8371252345645434,0.19751153992270787,No
12,1078,-1.9260463470177862,-1.0515266757771764,0.10359316764137272,No
13,1078,-1.412827876073324,-1.0813171087964801,0.1610275597661241,No
14,1078,-1.864182406904813,-1.1482575432487527,0.09205811132782193,No
15,1078,-1.4439634173756375,-1.1760751517744428,0.13510937295468334,No
16,1104,0.21321577728065733,0.33352513438388054,0.17870413508890304,No
17,1104,0.21497176522412392,0.2518729002438084,0.18436729752037417,No
18,1104,0.2353038415222024,0.111273294074922,0.1902088368667048,No
19,1104,0.8482769585309551,0.17094037339744217,0.1640295129948886,No
20,1121,1.20714034079765,0.3833169201463496,0.1337114588385116,No
21,1121,-0.047449832063923496,0.11815674714889643,0.18496936096340988,No
22,1121,2.651517868393027,-0.22301436790827342,0.1273972577619218,No
23,1121,0.8573094125455936,-0.07381418808690726,0.17626712826013663,No
24,1161,1.9746163783020974,-0.30362637651895263,0.15714384088437583,No
25,1161,1.418355281429395,-0.5844025198856647,0.17557203398509136,No
26,1161,0.19989288398933736,-0.5083924207505373,0.21719027821512032,No
27,1161,0.41411746470570115,-0.6568371309198738,0.19483988079888692,No
28,1209,-1.9178941247037706,-0.9355765217154002,0.1234299064963078,No
29,1209,-1.8233440524598146,-0.9795015811484403,0.14692313047095357,No
30,1209,-1.6224222905327281,-1.0045791557583712,0.16656870454344097,No
31,1209,-1.1570700854266645,-1.024722076716755,0.19111661284577408,No
32,1210,1.1239936325960769,2.4171009082720682,0.031661672974969135,No
33,1210,0.6458380631863048,2.6936382265134977,0.04216238114857929,No
34,1210,2.01989974600145,1.9334651211409597,0.02387280175435802,No
35,1210,0.9994409747565469,1.194710164101105,0.08996307898919409,No
36,1230,-1.1586281873556759,1.1994130720335616,0.1269237866339747,No
37,1230,-1.2450236329456943,0.9973017839693848,0.1274670418827617,No
38,1230,-1.219075481955647,0.992205307670254,0.12920395109344174,No
39,1230,-0.6341267670312996,0.7694730438241377,0.14388394950267908,No
40,1254,-1.1478824820935674,0.2552695264342733,0.17752737132999075,No
41,1254,-0.4022130098198931,0.3427222024310655,0.17453609884183396,No
42,1254,-1.0722588820847008,0.5211025521096628,0.15426450919515855,No
43,1254,-0.45872045736025147,0.5643226012134337,0.15826902846712854,No
44,1266,0.7892472460276265,-0.4576609567566853,0.18946881408291344,No
45,1266,0.28077216273761924,-0.3901084140044399,0.21562554715599885,No
46,1266,2.251265841196284,-0.5603791991381124,0.1455550121296863,No
47,1266,0.6305819899056047,-0.46474320920818746,0.191139889361771,No
48,1300,-1.9060930469013448,-0.9601288411291862,0.12345993259739318,No
49,1300,-1.8620508165327088,-1.0115115190893693,0.12574856370787113,No
50,1300,-1.944439279849786,-1.0914686704657917,0.09132744466805376,No
51,1300,-1.2126596912518557,-1.1485832513076533,0.15381174973536282,No
52,1327,-1.208239604554862,-0.8561464921006157,0.21268830062961114,No
53,1327,-1.3551176101681743,-0.7920414358547717,0.20840057045246058,No
54,1327,-1.2211286553699694,-0.8936676270314108,0.20637733207109982,No
55,1327,-0.8826215290532567,-0.8785952509596188,0.21105603025455533,No
56,1380,0.07422582095042866,-0.4296623173355034,0.22080892523390638,No
57,1380,-0.20226170864510154,-0.5676041842265843,0.2217704055269451,No
58,1380,0.3041337678793732,-0.4305478076396009,0.21160333383431118,No
59,1380,1.428028175196382,-0.6045917071876947,0.17485409417617448,No
60,1393,-0.6290677591137256,-0.5257835786389197,0.23096933585748364,No
61,1393,-0.713405168051521,-0.6340809620499511,0.232271994299027,No
62,1393,-0.6628019491370178,-0.6802919228415116,0.22822280238543552,No
63,1393,-0.02173908340504781,-0.7355592822076545,0.21026717700579772,No
64,1410,-1.1128137063868075,0.8974452595495088,0.14234037990789217,No
65,1410,-1.1746521502799523,0.7907487082231066,0.14383242316168132,No
66,1410,-1.1658945467861201,0.11048003949606648,0.1845956427356475,No
67,1410,-0.5075252677479715,-0.06447789569332818,0.2030712696679855,No
